max_depth,min_sample_split,criterion,splitter,precision,recall,f1,accuracy
10,3,gini,best,0.512493337727239,0.934454977667692,0.51425335444445,0.960186829224601
10,5,gini,best,0.512491714710767,0.934452340335196,0.514248908384537,0.960181560492943
10,10,gini,best,0.51248765900535,0.934445747003955,0.514237796585921,0.960168388663797
10,3,entropy,best,0.512203406479974,0.928391827463707,0.513597012671423,0.959757427594455
10,5,entropy,best,0.512201835571066,0.92838919013121,0.513592663222514,0.959752158862797
10,10,entropy,best,0.512201835571066,0.92838919013121,0.513592663222514,0.959752158862797
10,3,entropy,best,0.51219329181432,0.930607155878586,0.513511355709568,0.959509797206519
10,5,entropy,best,0.512191732349516,0.93060451854609,0.513507026582315,0.95950452847486
10,10,entropy,best,0.512191732349516,0.93060451854609,0.513507026582315,0.95950452847486
10,3,entropy,best,0.512051345935942,0.928133368879058,0.513174216136145,0.959241091891949
10,5,entropy,best,0.512050579780526,0.92813205021281,0.513172076665557,0.95923845752612
10,10,entropy,best,0.51204981372199,0.928130731546561,0.513169937371995,0.959235823160291
10,3,gini,best,0.51228562956734,0.944160222285006,0.513422674451697,0.958545619313063
10,5,gini,best,0.512284098524316,0.94415758495251,0.51341839390814,0.958540350581404
10,10,gini,best,0.512280272579642,0.944150991621269,0.513407695591552,0.958527178752259
10,3,gini,best,0.511713595031455,0.942013449073977,0.511827071923473,0.956593554233689
10,5,gini,best,0.511712198889503,0.942010811741481,0.511823038680328,0.956588285502031
10,10,gini,best,0.511708709984454,0.94200421841024,0.511812958229864,0.956575113672885
5,3,gini,best,0.508684790529202,0.92338744272858,0.502402787206928,0.942749961801695
5,5,gini,best,0.508684790529202,0.92338744272858,0.502402787206928,0.942749961801695
5,10,gini,best,0.508683206240228,0.923382168063587,0.502396944016152,0.942739424338379
5,3,entropy,best,0.507987813696412,0.921951399743223,0.499673362850231,0.937544454923366
5,5,entropy,best,0.507987813696412,0.921951399743223,0.499673362850231,0.937544454923366
5,10,entropy,best,0.507987813696412,0.921951399743223,0.499673362850231,0.937544454923366
3,10,entropy,random,0.506106789216123,0.833996184959574,0.495445689999858,0.934744124047018
3,3,gini,random,0.505446652709472,0.799775924942925,0.494070165640769,0.93414348863798
10,5,gini,random,0.507433776249739,0.928228127556248,0.496939306939671,0.931390576346556
3,10,gini,random,0.506146355284494,0.857523488456887,0.494295585858829,0.93033946438074
10,3,gini,random,0.506793321059596,0.90039275686709,0.495248524476322,0.929525445339543
5,5,entropy,random,0.506140672112544,0.861728653358201,0.494021761873346,0.929393727048088
5,5,gini,random,0.506230005423117,0.868593537200041,0.494099411262803,0.92908814061191
3,3,gini,random,0.505951263673266,0.852173721252126,0.493566318633759,0.928998572173721
5,5,gini,random,0.506105459346216,0.862585770978481,0.493783487095534,0.928769382346588
3,10,gini,random,0.506080811713973,0.863500909913682,0.493596736139027,0.928260949741569
5,5,gini,random,0.505849382277464,0.867363206149405,0.492066837647051,0.924293594802923
5,10,gini,random,0.505818352315557,0.870319609554721,0.491701241756957,0.923189795520524
5,3,entropy,random,0.505109730512939,0.846436204406165,0.488833028536761,0.917536446451246
5,10,entropy,random,0.505328274262941,0.864749594204396,0.489001597178312,0.916735599239195
3,3,gini,best,0.505127760606722,0.881758792201033,0.48635655541456,0.908655999241303
3,3,entropy,best,0.505127760606722,0.881758792201033,0.48635655541456,0.908655999241303
3,5,gini,best,0.505127760606722,0.881758792201033,0.48635655541456,0.908655999241303
3,5,entropy,best,0.505127760606722,0.881758792201033,0.48635655541456,0.908655999241303
3,10,gini,best,0.505127760606722,0.881758792201033,0.48635655541456,0.908655999241303
3,10,entropy,best,0.505127760606722,0.881758792201033,0.48635655541456,0.908655999241303
3,3,gini,best,0.505127760606722,0.881758792201033,0.48635655541456,0.908655999241303
3,3,entropy,best,0.505127760606722,0.881758792201033,0.48635655541456,0.908655999241303
3,5,gini,best,0.505127760606722,0.881758792201033,0.48635655541456,0.908655999241303
3,5,entropy,best,0.505127760606722,0.881758792201033,0.48635655541456,0.908655999241303
3,10,gini,best,0.505127760606722,0.881758792201033,0.48635655541456,0.908655999241303
3,10,entropy,best,0.505127760606722,0.881758792201033,0.48635655541456,0.908655999241303
10,3,gini,random,0.505182145135612,0.888441700100621,0.486263547521665,0.907986870320708
5,3,gini,random,0.504669815011351,0.850814052821768,0.48523604617212,0.907589081080512
10,3,entropy,random,0.505345942907573,0.911643308475682,0.485780941875464,0.905268204785062
10,5,entropy,random,0.505205382014801,0.91243052134375,0.484644787731873,0.902167556204195
10,5,entropy,random,0.505288197195609,0.920443948046724,0.484692077955504,0.901819819914752
10,3,entropy,random,0.504852853596178,0.894560172522804,0.483164856843064,0.89918018535398
5,10,entropy,random,0.504386102649176,0.865060660469462,0.481523109829859,0.896327167161049
3,3,entropy,random,0.504014953465217,0.834519432962149,0.480793903948497,0.896066364943967
5,10,gini,random,0.504126974538448,0.852885553969251,0.480122560460184,0.893034209874657
10,10,gini,random,0.504633560340228,0.897267317125095,0.480975511627754,0.89290512594903
3,10,entropy,random,0.504119005749628,0.85777509121233,0.479558268809182,0.891119025916891
10,10,entropy,random,0.504417590316918,0.889630998086995,0.479566530753972,0.889332925884752
10,10,gini,random,0.504633579039823,0.912481856681089,0.479631076541066,0.888250201528986
5,3,gini,best,0.504686624508722,0.922249078612069,0.479283838174254,0.886732806811416
5,3,entropy,best,0.504686624508722,0.922249078612069,0.479283838174254,0.886732806811416
5,5,gini,best,0.504686624508722,0.922249078612069,0.479283838174254,0.886732806811416
5,5,entropy,best,0.504686624508722,0.922249078612069,0.479283838174254,0.886732806811416
5,10,entropy,best,0.504686624508722,0.922249078612069,0.479283838174254,0.886732806811416
5,10,gini,best,0.504686189685997,0.922243803947076,0.479280022266868,0.8867222693481
10,5,gini,random,0.504275941573083,0.889816899145879,0.478074593771783,0.885031006485809
3,5,gini,random,0.504022138698794,0.867410415636375,0.477526613764272,0.884664829635562
3,5,gini,random,0.503732601281334,0.843471657387508,0.476707200554119,0.883574202182309
3,3,entropy,random,0.503731743567766,0.846396412802867,0.476367942887732,0.882407178120011
10,3,entropy,random,0.50425756201965,0.896568362249317,0.477209792299434,0.882162182097903
10,10,entropy,random,0.5042626881527,0.898637318710644,0.477061620307323,0.881622137102935
10,3,gini,random,0.504210889783555,0.90289521482083,0.476046209486123,0.878445091913024
5,3,entropy,best,0.504235453685046,0.918188874351717,0.474772872702754,0.873948229442726
5,5,entropy,best,0.504235453685046,0.918188874351717,0.474772872702754,0.873948229442726
5,10,entropy,best,0.504235453685046,0.918188874351717,0.474772872702754,0.873948229442726
5,3,gini,best,0.504217858139361,0.918919400012169,0.474485225598605,0.873070985621631
5,5,gini,best,0.504217858139361,0.918919400012169,0.474485225598605,0.873070985621631
5,10,gini,best,0.504217508729826,0.918914125347176,0.474481532219056,0.873060448158315
10,5,entropy,random,0.50396639278052,0.897197288844429,0.473661692202756,0.87173536214627
5,3,entropy,random,0.503658703493416,0.868602381837359,0.472827536391199,0.870689518912112
3,5,gini,random,0.503414379384863,0.846860490675896,0.472006132856968,0.869314379949315
10,10,gini,random,0.503946644989535,0.901791444847908,0.472891697171819,0.869230080242783
5,3,gini,random,0.503588844055475,0.876056663168979,0.470903192666053,0.864551446530277
5,10,gini,random,0.503425588541577,0.861428883770268,0.470276766877708,0.863368616273005
3,5,entropy,random,0.50323541437287,0.842419238192982,0.46977978407998,0.862778518327283
3,10,gini,random,0.503032365420809,0.835207498804692,0.467248435020854,0.855381219079131
5,5,entropy,random,0.502940264760649,0.855051736588641,0.462174981739848,0.838945410671289
5,5,entropy,random,0.502930819122205,0.859359742016259,0.461228874960335,0.835868471382884
10,5,gini,random,0.503150009388877,0.887229382586813,0.461466422727442,0.835465413411029
10,10,entropy,random,0.503038393573409,0.877824762991977,0.4605448467833,0.833033893750757
3,5,entropy,random,0.502475791544106,0.817169509518599,0.45759398669789,0.826355776373953
3,10,entropy,random,0.502375164686052,0.807710824607587,0.456655271438504,0.823816247714688
3,3,entropy,random,0.502297975165804,0.813384891063066,0.452829362193612,0.811785098973124
3,5,entropy,random,0.502539890913646,0.847980955519399,0.452908662481916,0.810799846153036
5,10,entropy,random,0.50252232758077,0.849064868293314,0.452101009860199,0.808291929883719
3,3,gini,best,0.501964528888698,0.851598742621159,0.423194502335371,0.722224563880737
3,5,gini,best,0.501964528888698,0.851598742621159,0.423194502335371,0.722224563880737
3,10,gini,best,0.501964528888698,0.851598742621159,0.423194502335371,0.722224563880737
3,3,entropy,best,0.501957327389337,0.85179916444983,0.422521950226016,0.720288304996338
3,5,entropy,best,0.501957327389337,0.85179916444983,0.422521950226016,0.720288304996338
3,10,entropy,best,0.501957327389337,0.85179916444983,0.422521950226016,0.720288304996338
5,3,gini,random,0.501750876901403,0.817826782805731,0.420595480227309,0.715509565382325
5,3,entropy,random,0.501622013491029,0.815550548686526,0.407328545824497,0.678249095095338
3,3,gini,random,0.501672408283449,0.830477588118297,0.403816217434756,0.668346513943698
